quote_id,symbol_id,date_id,time_id,exchange_id,bid_price,ask_price,bid_size,ask_size,spread,mid_price,event_ts
633,BINANCE:BTCUSDT,20260331,22408,BINANCE,66301.71,66301.72,0.02894,2.34324,0.00999999999476131,66301.715,2026-03-31 02:24:08.234000
634,BINANCE:BTCUSDT,20260331,22408,BINANCE,66301.71,66301.72,0.02902,2.34324,0.00999999999476131,66301.715,2026-03-31 02:24:08.234000
635,BINANCE:BTCUSDT,20260331,22408,BINANCE,66301.71,66301.72,0.0291,2.34324,0.00999999999476131,66301.715,2026-03-31 02:24:08.235000
636,BINANCE:BTCUSDT,20260331,22408,BINANCE,66301.71,66301.72,0.02918,2.34324,0.00999999999476131,66301.715,2026-03-31 02:24:08.235000
637,BINANCE:BTCUSDT,20260331,22408,BINANCE,66301.71,66301.72,0.02918,2.3434,0.00999999999476131,66301.715,2026-03-31 02:24:08.235000
638,BINANCE:BTCUSDT,20260331,22408,BINANCE,66301.71,66301.72,0.02918,2.34686,0.00999999999476131,66301.715,2026-03-31 02:24:08.235000
639,BINANCE:ETHUSDT,20260331,22408,BINANCE,2015.61,2015.62,1.3554,32.3512,0.009999999999990905,2015.6149999999998,2026-03-31 02:24:08.242000
640,BINANCE:BTCUSDT,20260331,22408,BINANCE,66301.71,66301.72,0.02918,2.00356,0.00999999999476131,66301.715,2026-03-31 02:24:08.245000
641,BINANCE:ETHUSDT,20260331,22408,BINANCE,2015.61,2015.62,1.3554,32.2522,0.009999999999990905,2015.6149999999998,2026-03-31 02:24:08.246000
642,BINANCE:ETHUSDT,20260331,22408,BINANCE,2015.61,2015.62,1.3554,32.1532,0.009999999999990905,2015.6149999999998,2026-03-31 02:24:08.247000
643,BINANCE:ETHUSDT,20260331,22408,BINANCE,2015.61,2015.62,1.3519,32.1532,0.009999999999990905,2015.6149999999998,2026-03-31 02:24:08.247000
644,BINANCE:BTCUSDT,20260331,22408,BINANCE,66301.71,66301.72,0.02918,2.00404,0.00999999999476131,66301.715,2026-03-31 02:24:08.254000
645,BINANCE:ETHUSDT,20260331,22408,BINANCE,2015.61,2015.62,0.9019,32.1532,0.009999999999990905,2015.6149999999998,2026-03-31 02:24:08.255000
646,BINANCE:BTCUSDT,20260331,22408,BINANCE,66301.71,66301.72,0.0291,2.00404,0.00999999999476131,66301.715,2026-03-31 02:24:08.255000
647,BINANCE:BTCUSDT,20260331,22408,BINANCE,66301.71,66301.72,0.02902,2.00404,0.00999999999476131,66301.715,2026-03-31 02:24:08.255000
648,BINANCE:BTCUSDT,20260331,22408,BINANCE,66301.71,66301.72,0.0291,2.00404,0.00999999999476131,66301.715,2026-03-31 02:24:08.255000
649,BINANCE:BTCUSDT,20260331,22408,BINANCE,66301.71,66301.72,0.0291,2.00412,0.00999999999476131,66301.715,2026-03-31 02:24:08.256000
650,BINANCE:BTCUSDT,20260331,22408,BINANCE,66301.71,66301.72,0.02918,2.00412,0.00999999999476131,66301.715,2026-03-31 02:24:08.256000
651,BINANCE:BTCUSDT,20260331,22408,BINANCE,66301.71,66301.72,0.06117,2.00412,0.00999999999476131,66301.715,2026-03-31 02:24:08.256000
652,BINANCE:BTCUSDT,20260331,22408,BINANCE,66301.71,66301.72,0.06109,2.00412,0.00999999999476131,66301.715,2026-03-31 02:24:08.256000
653,BINANCE:BTCUSDT,20260331,22408,BINANCE,66301.71,66301.72,0.06101,2.00412,0.00999999999476131,66301.715,2026-03-31 02:24:08.256000
654,BINANCE:BTCUSDT,20260331,22408,BINANCE,66301.71,66301.72,0.06093,2.00412,0.00999999999476131,66301.715,2026-03-31 02:24:08.257000
655,BINANCE:BTCUSDT,20260331,22408,BINANCE,66301.71,66301.72,0.06101,2.00412,0.00999999999476131,66301.715,2026-03-31 02:24:08.257000
656,BINANCE:BTCUSDT,20260331,22408,BINANCE,66301.71,66301.72,0.06109,2.00412,0.00999999999476131,66301.715,2026-03-31 02:24:08.257000
657,BINANCE:BTCUSDT,20260331,22408,BINANCE,66301.71,66301.72,0.06109,2.0042,0.00999999999476131,66301.715,2026-03-31 02:24:08.257000
658,BINANCE:BTCUSDT,20260331,22408,BINANCE,66301.71,66301.72,0.06109,2.00428,0.00999999999476131,66301.715,2026-03-31 02:24:08.257000
659,BINANCE:BTCUSDT,20260331,22408,BINANCE,66301.71,66301.72,0.06109,2.00476,0.00999999999476131,66301.715,2026-03-31 02:24:08.259000
660,BINANCE:ETHUSDT,20260331,22408,BINANCE,2015.61,2015.62,0.9019,32.2522,0.009999999999990905,2015.6149999999998,2026-03-31 02:24:08.260000
661,BINANCE:ETHUSDT,20260331,22408,BINANCE,2015.61,2015.62,0.9019,32.3512,0.009999999999990905,2015.6149999999998,2026-03-31 02:24:08.261000
662,BINANCE:ETHUSDT,20260331,22408,BINANCE,2015.61,2015.62,0.9019,32.4502,0.009999999999990905,2015.6149999999998,2026-03-31 02:24:08.261000
663,BINANCE:BTCUSDT,20260331,22408,BINANCE,66301.71,66301.72,0.06109,2.00524,0.00999999999476131,66301.715,2026-03-31 02:24:08.261000
664,BINANCE:BTCUSDT,20260331,22408,BINANCE,66301.71,66301.72,0.06109,2.00713,0.00999999999476131,66301.715,2026-03-31 02:24:08.261000
665,BINANCE:BTCUSDT,20260331,22408,BINANCE,66301.71,66301.72,0.06109,2.00782,0.00999999999476131,66301.715,2026-03-31 02:24:08.263000
666,BINANCE:ETHUSDT,20260331,22408,BINANCE,2015.61,2015.62,0.9019,32.3512,0.009999999999990905,2015.6149999999998,2026-03-31 02:24:08.267000
667,BINANCE:ETHUSDT,20260331,22408,BINANCE,2015.61,2015.62,0.9019,32.2522,0.009999999999990905,2015.6149999999998,2026-03-31 02:24:08.267000
